COMPANY NAME,ASSETS (MILLIONS),LIABILITIES (MILLIONS)
"A21, Inc.",25.2,30.3
Abitibibowater Inc.,9937,2213
"Accentia Biopharmaceuticals, Inc.",134.9,77.6
Accredited Home Lenders Holding Co.,799.5,490.7
Apex Silver Mines LTD,721.3,930.9
"Applied Solar, Inc.",17.6,29.1
"Asyst Technologies, Inc.",295.8,315.4
"Atherogenics, Inc.",72,40
"Aurora Oil Gas Corp., et al.",103.7,134.4
Ausam Energy Corp. et al.,56.3,24.3
"Aventine Renewable Energy Holdings, Inc.",799.5,490.7
"Aviza Technology, Inc.",2.6,38.3
BankUnited Financial Corporation,37.7,559.7
Barzel Industries Inc.,365.8,384.6
Baseline Oil & Gas,80.1,138.9
"Basin Water, Inc.",50.6,14.2
BPI Energy Holdings Inc.,27,15
Brooke Corporation,512.9,447.4
Building Material Holding Corp.,480.1,481.3
"Butler International, Inc.",96.4,75.5
"Capco Energy, Inc. et al.",35.5,17.1
Cape Fear Bank Corporation,1.2,10.4
Capitol Corp. of the West,6.8,68
"Caraustar Industries, Inc.",366,376.8
"Cardinal Communications, Inc.",0.35,4.4
Charter Communications Corp.,13881,24185
Chemtura Corp.,1587.5,3507.4
Chesapeake Corporation,936.6,937.1
"Chrysler, LLC., et al.",39300,55200
"CIB Maine Bancshares, Inc.",104.8,107.2
"Circuit City Stores, Inc.",3400.1,2323.3
"CMR Mortgage Fund II, LLC",45.3,22
Constar International Inc.,420,538
"Crusader Energy Group, Inc., et al.",750,325.8
Dayton Superior Corp.,288.7,405.9
DNC Multimedia Corporation,1.1,1.2
"Electroglas, Inc.",19.6,31.5
"Energy Partners, Ltd., et al.",770.4,708.4
"EnergyTec, Inc. et al.",33.7,12.5
Equity Media Holdings Corporation,103.1,140.6
"Espre Solutions, Inc.",1.8,5.8
"FirstPlus Financial Group, Inc.",15,4.5
"Fleetwood Enterprises, Inc.",559.7,623.5
Forticell Bioscience,1,8.3
General Growth Properties Inc.,29557.3,27293.7
General Motors Corp.,82290,172819
GigaBeam Corp.,3.2,9.4
"Global Aircraft Dolutions, Inc.",4.6,12
"GPS Industries, Inc.",3,27.9
"Guaranty Financial Group, Inc. et al.",15391,14390
"Hartmarx Corp., et al.",483,261
Haynes Lemmerz International Inc.,2801.5,2659.8
"Herbst Gaming, Inc.(Sands Regent)",5.7,1179
Hydrogen LLC,0,10
"Idearc, Inc.",1800,9500
"ILX Resorts, Inc.",12.9,29.4
Indalex Holdings Finance Inc.,356,456
"IndentiPHI, Inc.",3.1,4.8
"Introgen Therapeutics, Inc., et al.",9.1,12.9
ION Media Networks Inc.,,3000
ISCO International Inc.,5.3,25.5
Isolagen Inc.,,88.1
Knight Energy Corp. et al.,0.5,4.8
"LandAmerica Financial Group, Inc.",3325.1,2839.8
"Lehman Brothers Holdings, Inc.",639000,613000
Lenox Group Inc.,264,238
"Life Sciences, Inc.",1.2,0.8
Luna Innovations Incorporation,29.8,55.6
Lyondell Chemical Co.,27.1,19.3
Magna Entertainment Corp.,1049.4,958.6
"Meruelo Maddux Properties, Inc.",681.8,342
"MicroIslet, Inc.",0.9,5
"Milacron, Inc. et al. ",523.3,752
"Modtech Holdings, Inc.",40.9,34.9
Molecular Imaging Corp.,0.6,16.1
"Noble International, Ltd., et al.",190.8,38.7
"Nortel Networks, Inc.",11600,11800
"North American Scientific, Inc.",6.2,5.8
"Northfield Laboratories, Inc.",10.9,1.8
One Shackleford Holdings Corporation,103.1,140.6
"Paladin Holdings, Inc.",10.8,3.2
"Particle Drilling Technologies, Inc., et al.",2.9,1.4
Peagus Wireless Corporation,17.4,3.9
"Petters Group Worldwide, LLC/Petters Company Inc.",35.4,2025.6
Pilgrim's Pride Corporation,3751.8,2719
"Platina Energy Group, Inc.",11.7,13.1
PNG Ventures Inc.,39.9,44.6
Powder River Petroleum International Inc.,1.9,57.4
"Primus Telecommunications Group, Inc. Group, Inc.",392.7,827.4
"Proliance International, Inc.",160.3,133.5
"QSGI, Inc.",24,22.7
"Saratoga Resources Inc., et al.",169.3,110.6
"Semgroup, LP",6140,7530
"SENDTEC, Inc.",3.7,17.4
Silicon Graphics Inc.,369.4,664.3
Six Flags Inc.,3030.8,2366.2
Smurfit-Stone Container Corp.,7420,5582
"Sonoran Energy, Inc.",47.1,26.4
"Source Interlink Companies, Inc.",2436,1995.5
Spansion Inc.,3840,2398
"Spectrum Brands, Inc.",10074.4,4445.8
"Station Casinos, Inc.",5725,6482.6
Sterling Mining Company,11.7,14.2
"Storm Cat Energy Corporation, et al.",154.8,154.5
"Tapestry Pharmaceuticals, Inc.",11.8,3.7
Taragon Corporation,840.7,1
Team Financial Inc.,0.7,26.7
Telemetrix Inc. et al.,1,13.8
"Teleplus World, Corp.",10.8,21.2
"The Colonial BancGroup, Inc.",45,380
Thornburg Mortgage,24400,24700
"Transmeridian Exploration, Inc. et al.",377.9,451.7
Triple Crown Media Inc.,33.1,85.9
Tronox Incorporated ,1557,1221.6
TVI Corporation,23.3,37.3
"Tvia, Inc.",5.6,1.1
TWL Corporation,14.3,37.6
"TXCO Resources, Inc., et al.",431.9,322.8
TXP Corporation,3.6,16.8
U.S. Shipping Partners L.P.,717.4,606.5
Velocity Express Corp.,94.1,120.6
Vermillion Inc.,7.2,32
Versun Energy Corp.,3453,1913.2
Vineyard National Bancorp,2098.7,449.7
"Vubotics, Inc.",0.02,3.6
Washington Mutual Inc.,32896.6,8167
"WCI Communications, Inc.",2178.2,1915
Worldspace Inc.,0.3,2.1
"Xechem International, Inc.",3.9,11.1
