Alloc_Prem_Code
D3
D5 100%
100% - PU
 Broker/CE to advise in accordance with the Client Classification  Read-Across Grid
 100% -P
D3       100%
 BB 100%
D2       100%
F3        100%
 D2 99% 7T 1% (TRIA allocation)
 BB F2 (including USA) F3 (excluding USA) D4 (including USA) D5 100% (excluding USA) 7T TRIA proportion of the premium
 D3 100%
BB                   100%
 100% -CT
 BB       62.5%  F3        37.5%
 UC  
 BB 69.84% F3  30.16%
D4 100%
D2 100%
D2       100% 
 BB           50%  F3            30%  D5            20% 
100% GM
CY    100% 

BB 100%
E3       100%
 D2 100%
D5       100%
E9       100%
 D5 100%
