SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL
3M India Limited,BIRLA3M,3MINDIA
3P Land Holdings Limited,PDUMJEAGRO,PDUMJEIND
3P Land Holdings Limited,PDUMJEIND,3PLAND
63 moons technologies limited,FINANTECH,63MOONS
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA
AGC Networks Limited,TATATELECM,AVAYAGCL
AGC Networks Limited,AVAYAGCL,AGCNET
AMD Industries Limited,AMDMET,AMDIND
ANG Industries Limited,ANGAUTO,ANGIND
ATN International Limited,ARIHANTCRE,ATNINT
AXISCADES Engineering Technologies Limited,IT&T,AXIS-IT&T
AXISCADES Engineering Technologies Limited,AXIS-IT&T,AXISCADES
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX
Aban Offshore Limited,ABANLLOYD,ABANLOYD
Aban Offshore Limited,ABANLOYD,ABAN
Abhishek Corporation Limited,AML,ABHISHEK
Accelya Kale Solutions Limited,KALECONSUL,ACCELYA
Adani Enterprises Limited,ADANIEXPO,ADANIENT
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS
Aditya Birla Chemicals (India) Limited,BIHARCAUST,BCCL
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO
Ador Welding Limited,ADVANIORLI,ADORWELD
Adroit Infotech Limited,ARHAMFISCL,COLORCHIPS
Adroit Infotech Limited,COLORCHIPS,SPHEREGSL
Adroit Infotech Limited,SPHEREGSL,ADROITINFO
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR
Aftek Limited,AFTEKINFO,AFTEK
Agro Tech Foods Limited,ITCAGRO,ATFL
Ajmera Realty & Infra India Limited,SHREE,AJMERA
Akzo Nobel India Limited,ICI,AKZOINDIA
Alembic Limited,ALMBICHEM,ALEMBICLTD
Alicon Castalloy Limited,ENKEI,ALICON
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN
Ambuja Cements Limited,GUJAMBCEM,AMBUJACEM
Amj Land Holdings Limited,PDUMJEPULP,AMJLAND
Anik Industries Limited,MPGLYCEM,ANIKINDS
Ansal Properties & Infrastructure Limited,ANSALPROP,ANSALINFRA
Ansal Properties & Infrastructure Limited,ANSALINFRA,ANSALAPI
Apcotex Industries Limited,APCOTEXLAT,APCOTEXIND
Arrow Greentech Limited,ARROWCOAT,ARROWGREEN
Arvind Limited,ARVINDMILL,ARVIND
