SYMBOL,NAME OF COMPANY, PAID UP VALUE, MARKET LOT, FACE VALUE
20MICRONS,20 Microns Limited,5,1,5
21STCENMGM,21st Century Management Services Limited,10,1,10
3IINFOTECH,3i Infotech Limited,10,1,10
3MINDIA,3M India Limited,10,1,10
3PLAND,3P Land Holdings Limited,2,1,2
5PAISA,5Paisa Capital Limited,10,1,10
63MOONS,63 moons technologies limited,2,1,2
8KMILES,8K Miles Software Services Limited,5,1,5
A2ZINFRA,A2Z Infra Engineering Limited,10,1,10
AARTIDRUGS,Aarti Drugs Limited,10,1,10
AARTIIND,Aarti Industries Limited,5,1,5
AARVEEDEN,Aarvee Denims & Exports Limited,10,1,10
AAVAS,Aavas Financiers Limited,10,1,10
ABAN,Aban Offshore Limited,2,1,2
ABB,ABB India Limited,2,1,2
ABBOTINDIA,Abbott India Limited,10,1,10
ABCAPITAL,Aditya Birla Capital Limited,10,1,10
ABFRL,Aditya Birla Fashion and Retail Limited,10,1,10
ABGSHIP,ABG Shipyard Limited,10,1,10
ABMINTLTD,ABM International Limited,10,1,10
ACC,ACC Limited,10,1,10
ACCELYA,Accelya Kale Solutions Limited,10,1,10
ACE,Action Construction Equipment Limited,2,1,2
ADANIENT,Adani Enterprises Limited,1,1,1
ADANIGAS,Adani Gas Limited,1,1,1
ADANIGREEN,Adani Green Energy Limited,10,1,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2,1,2
ADANIPOWER,Adani Power Limited,10,1,10
ADANITRANS,Adani Transmission Limited,10,1,10
ADFFOODS,ADF Foods Limited,10,1,10
ADHUNIK,Adhunik Metaliks Limited,10,1,10
ADHUNIKIND,Adhunik Industries Limited,10,1,10
ADLABS,Adlabs Entertainment Limited,10,1,10
ADORWELD,Ador Welding Limited,10,1,10
ADROITINFO,Adroit Infotech Limited,10,1,10
ADSL,Allied Digital Services Limited,5,1,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,2,1,2
ADVENZYMES,Advanced Enzyme Technologies Limited,2,1,2
AEGISCHEM,Aegis Logistics Limited,1,1,1
AGARIND,Agarwal Industrial Corporation Limited,10,1,10
AGCNET,AGC Networks Limited,10,1,10
AGLSL,Artemis Global Life Sciences Limited,2,1,2
AGRITECH,Agri-Tech (India) Limited,10,1,10
AHLEAST,Asian Hotels (East) Limited,10,1,10
AHLUCONT,Ahluwalia Contracts (India) Limited,2,1,2
AHLWEST,Asian Hotels (West) Limited,10,1,10
AIAENG,AIA Engineering Limited,2,1,2
AIFL,Ashapura Intimates Fashion Limited,10,1,10
AIONJSW,Monnet Ispat & Energy Limited,10,1,10
AJANTPHARM,Ajanta Pharma Limited,2,1,2
AJMERA,Ajmera Realty & Infra India Limited,10,1,10
AKSHARCHEM,AksharChem India Limited,10,1,10
AKSHOPTFBR,Aksh Optifibre Limited,5,1,5
AKZOINDIA,Akzo Nobel India Limited,10,1,10
ALANKIT,Alankit Limited,1,1,1
ALBERTDAVD,Albert David Limited,10,1,10
ALBK,Allahabad Bank,10,1,10
ALCHEM,Alchemist Limited,10,1,10
ALEMBICLTD,Alembic Limited,2,1,2
ALICON,Alicon Castalloy Limited,5,1,5
ALKALI,Alkali Metals Limited,10,1,10
ALKEM,Alkem Laboratories Limited,2,1,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,5,1,5
ALLCARGO,Allcargo Logistics Limited,2,1,2
ALLSEC,Allsec Technologies Limited,10,1,10
ALMONDZ,Almondz Global Securities Limited,6,1,6
ALOKTEXT,Alok Industries Limited,10,1,10
ALPA,Alpa Laboratories Limited,10,1,10
ALPHAGEO,Alphageo (India) Limited,10,1,10
AMARAJABAT,Amara Raja Batteries Limited,1,1,1
AMBER,Amber Enterprises India Limited,10,1,10
AMBIKCO,Ambika Cotton Mills Limited,10,1,10
AMBUJACEM,Ambuja Cements Limited,2,1,2
AMDIND,AMD Industries Limited,10,1,10
AMJLAND,Amj Land Holdings Limited,2,1,2
AMRUTANJAN,Amrutanjan Health Care Limited,1,1,1
ANANTRAJ,Anant Raj Limited,2,1,2
ANDHRABANK,Andhra Bank,10,1,10
ANDHRACEMT,Andhra Cements Limited,10,1,10
ANDHRSUGAR,The Andhra Sugars Limited,10,1,10
ANGIND,ANG Industries Limited,10,1,10
ANIKINDS,Anik Industries Limited,10,1,10
ANKITMETAL,Ankit Metal & Power Limited,10,1,10
ANSALAPI,Ansal Properties & Infrastructure Limited,5,1,5
ANSALHSG,Ansal Housing Limited,10,1,10
ANTGRAPHIC,Antarctica Limited,1,1,1
APARINDS,Apar Industries Limited,10,1,10
APCL,Anjani Portland Cement Limited,10,1,10
APCOTEXIND,Apcotex Industries Limited,5,1,5
APEX,Apex Frozen Foods Limited,10,1,10
APLAPOLLO,APL Apollo Tubes Limited,10,1,10
APLLTD,Alembic Pharmaceuticals Limited,2,1,2
APOLLO,Apollo Micro Systems Limited,10,1,10
APOLLOHOSP,Apollo Hospitals Enterprise Limited,5,1,5
APOLLOTYRE,Apollo Tyres Limited,1,1,1
APOLSINHOT,Apollo Sindoori Hotels Limited,5,1,5
APTECHT,Aptech Limited,10,1,10
ARCHIDPLY,Archidply Industries Limited,10,1,10
ARCHIES,Archies Limited,2,1,2
ARCOTECH,Arcotech Limited,2,1,2
ARENTERP,Rajdarshan Industries Limited,10,100,10
ARIES,Aries Agro Limited,10,1,10
ARIHANT,Arihant Foundations & Housing Limited,10,1,10
ARIHANTSUP,Arihant Superstructures Limited,10,1,10
ARMANFIN,Arman Financial Services Limited,10,1,10
AROGRANITE,Aro Granite Industries Limited,10,1,10
ARROWGREEN,Arrow Greentech Limited,10,1,10
ARROWTEX,Arrow Textiles Limited,10,1,10
ARSHIYA,Arshiya Limited,2,1,2
ARSSINFRA,ARSS Infrastructure Projects Limited,10,1,10
ARVIND,Arvind Limited,10,1,10
ARVSMART,Arvind SmartSpaces Limited,10,1,10
ASAHIINDIA,Asahi India Glass Limited,1,1,1
ASAHISONG,Asahi Songwon Colors Limited,10,1,10
ASAL,Automotive Stampings and Assemblies Limited,10,1,10
ASHAPURMIN,Ashapura Minechem Limited,2,1,2
ASHIANA,Ashiana Housing Limited,2,1,2
ASHIMASYN,Ashima Limited,10,1,10
ASHOKA,Ashoka Buildcon Limited,5,1,5
ASHOKLEY,Ashok Leyland Limited,1,1,1
ASIANHOTNR,Asian Hotels (North) Limited,10,1,10
ASIANPAINT,Asian Paints Limited,1,1,1
ASIANTILES,Asian Granito India Limited,10,1,10
ASPINWALL,Aspinwall and Company Limited,10,1,10
ASSAMCO,Assam Company India Limited,1,1,1
ASTEC,Astec LifeSciences Limited,10,1,10
ASTERDM,Aster DM Healthcare Limited,10,1,10
ASTRAL,Astral Poly Technik Limited,1,1,1
ASTRAMICRO,Astra Microwave Products Limited,2,1,2
ASTRAZEN,AstraZeneca Pharma India Limited,2,1,2
ASTRON,Astron Paper & Board Mill Limited,10,1,10
ATFL,Agro Tech Foods Limited,10,1,10
ATLANTA,Atlanta  Limited,2,1,2
ATLASCYCLE,Atlas Cycles (Haryana) Limited,5,1,5
ATUL,Atul Limited,10,1,10
ATULAUTO,Atul Auto Limited,5,1,5
AUBANK,AU Small Finance Bank Limited,10,1,10
AURIONPRO,Aurionpro Solutions Limited,10,1,10
AUROPHARMA,Aurobindo Pharma Limited,1,1,1
AUSOMENT,Ausom Enterprise Limited,10,1,10
AUTOAXLES,Automotive Axles Limited,10,1,10
AUTOIND,Autoline Industries Limited,10,1,10
AUTOLITIND,Autolite (India) Limited,10,1,10
AVADHSUGAR,Avadh Sugar & Energy Limited,10,1,10
AVANTIFEED,Avanti Feeds Limited,1,1,1
AVTNPL,AVT Natural Products Limited,1,1,1
AXISBANK,Axis Bank Limited,2,1,2
AXISCADES,AXISCADES Engineering Technologies Limited,5,1,5
AYMSYNTEX,AYM Syntex Limited,10,1,10
BAFNAPHARM,Bafna Pharmaceuticals Limited,10,1,10
BAGFILMS,B.A.G Films and Media Limited,2,1,2
BAJAJ-AUTO,Bajaj Auto Limited,10,1,10
BAJAJCON,Bajaj Consumer Care Limited,1,1,1
BAJAJELEC,Bajaj Electricals Limited,2,1,2
BAJAJFINSV,Bajaj Finserv Limited,5,1,5
BAJAJHIND,Bajaj Hindusthan Sugar Limited,1,1,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,10,1,10
