SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
ABB LTD.    ,1257,1274,1242.85,1248.1,1247,1241.9,785,11677,14700549,
AEGIS LOGIS ,179.05,187.9,178,183.95,187.9,176.95,297,7732,1392425,
AMAR RAJA BA,739.35,745,712,724,724,737.55,1675,116433,85481640,
A.SARABHAI  ,11.9,12.32,11.5,11.79,12,11.8,63,6798,79677,
HDFC        ,1882.9,1882.9,1858.45,1870.9,1870,1851.25,1307,43734,81707574,
ANDHRA PETRO,53,56,52.2,54.9,54.9,51.7,420,83273,4499953,
ANSAL INFRAS,11.2,11.5,9.4,10.43,10.4,10.95,249,56322,606842,
APPLE FINANC,1.6,1.6,1.53,1.53,1.53,1.6,10,2649,4101,
BOM DYEING  ,105.95,109.35,105.85,107.2,107.2,104.85,1515,129520,13913293,
ASIANHOTNR  ,135.2,143.5,135.2,143.5,143.5,139,4,270,37199,
ASSAMCO     ,2.69,2.69,2.69,2.69,2.69,2.57,42,47941,128961,
ATUL LTD.   ,3424.9,3466,3371.25,3394.35,3430,3402.1,181,617,2099967,
ATV PROJECTS,5.76,5.76,5.42,5.42,5.42,5.7,23,13200,71996,
BAJAJ ELECT.,433.05,448.15,433.05,436.2,436.2,432.45,732,17369,7662848,
BAJAJHIND   ,7.7,7.9,7.62,7.81,7.86,7.7,384,291565,2281961,
FORCE MOTR  ,1351,1356,1337,1339.9,1339.9,1332.05,738,7787,10471249,
BAJFINANCE  ,2576.9,2609,2575,2600.85,2600.85,2559.3,2016,42663,110544757,
BALRAM.CHINI,125,128.1,122.3,123.9,123.9,124.9,2953,272764,34142441,
BANCO PROD. ,148,151,145.4,145.8,145.4,148.1,205,11548,1697783,
CENTURY TEXT,718.05,743,718.05,740.25,740.25,715.25,853,115069,83527198,
BANNARI AMAN,1549,1549,1549,1549,1549,1508.4,1,1,1549,
BASF INDIA  ,1216.35,1220,1180.05,1198.5,1196.7,1201.55,212,1144,1374142,
BATA INDIA  ,1266,1274.9,1256.25,1269.6,1270.05,1260.95,871,21588,27328513,
BEML LTD    ,755.15,777.15,755.15,773.75,773.75,755.75,1768,74997,57570375,
BHARAT ELECT,77.8,78.65,76.35,77.35,77.35,75.85,2722,691028,53453514,
BHANSALI ENG,61,61,58.95,60.2,60.2,60.1,325,21019,1264094,
TATASTLBSL  ,27,27.25,26.85,27.05,26.95,27.15,162,33912,917762,
BIHAR SPONGE,0.95,0.95,0.95,0.95,0.95,0.96,4,425,403,
BINANI IND. ,34.25,34.85,33.8,33.9,33.9,33.4,19,2041,69821,
BIRLACABLE  ,155.35,155.35,151.6,154.7,154.7,151.75,190,4360,673136,
BLUE STAR   ,570,600,565,588.6,600,567.1,117,1703,974989,
DISA INDIA  ,6185,6185,6001,6100.35,6100,6000.05,17,902,5414250,
BPL LTD.    ,26.6,27.95,26.6,27.3,27.3,25.75,328,52455,1421925,
OAL         ,204,222,204,218.35,218.35,205.65,91,13519,2927032,
CENTURY EXT ,6.05,6.09,5.9,6.07,6.08,5.94,29,12262,74095,
CESC LTD.   ,661.3,674.75,660.25,672.15,673.8,658.3,510,13270,8869336,
CHAMBAL FERT,160,161.8,158.95,160.85,161.1,159.95,133,5587,894721,
EXIDE IND.  ,206,207.9,194.65,206.55,206.55,205.2,4504,327290,65998493,
CIPLA LTD.  ,539.2,542.5,538.9,541.05,540.1,539.2,621,24467,13236451,
DIC INDIA   ,325,347,325,331,343,319.25,5,21,7050,
CRISIL LTD  ,1560.05,1585.65,1533,1560.25,1561,1572.3,139,1122,1743589,
CGPOWER     ,29.3,30.8,28.75,30.25,30.25,28.8,6435,3674383,110173563,
DABUR (I)   ,422,426.2,421.4,424.9,425.4,420.95,494,26510,11245143,
DALMIASUG   ,104.95,106,101.5,102.15,102.8,101.7,588,50714,5304290,
ARVIND Ltd  ,75.75,77.1,75.75,76.6,76.6,76.2,463,76782,5890938,
BALARPUR IND,3.46,3.6,3.42,3.5,3.46,3.5,89,59725,207952,
BHEL        ,62.25,63.1,62,62.65,62.65,62.05,1202,389905,24389832,
HIND.PETRO  ,215.05,222.2,215.05,221,221,214.8,1994,210017,46094429,
IFCI LTD    ,11.9,12.17,11.9,12.08,12.08,11.97,615,249734,3000460,
MAHA.TELE   ,12.05,12.15,11.89,12.01,12.01,11.96,115,47256,568748,
MRPL        ,63.45,64.05,63.25,63.6,64,63,433,91407,5809805,
CHENNAI PET.,204,210,204,206.3,206.3,202.75,524,41070,8501033,
REL.CAP.    ,152.5,152.5,135.95,145.05,145.05,151.5,25316,3202387,455105080,
STATE BANK  ,265,267.7,264.5,267.05,267.05,262.5,6050,741933,197292454,
STEEL AUTH. ,46.55,48.45,46.25,47.9,47.9,46.15,3053,1546369,73794996,
TITAN       ,1030,1044,1028.2,1033.25,1033.25,1029.15,2061,79528,82360594,
IDBI BANK L ,43,44.05,42.65,43.65,43.65,42.55,2928,1121672,48431246,
DCW LTD.    ,13.9,14.2,13.9,14.05,14.2,14,46,13176,184295,
DHAMPUR SUGA,216.5,219.95,210.2,212.55,212.55,216.85,2511,152913,32830424,
DIAMINES&CHM,80,84.55,77.8,84.35,84.55,80.55,100,11076,890007,
ELANTAS     ,2065,2170.9,2000,2129.85,2100,2052.65,104,757,1596794,
DR.REDDY'S  ,2565.65,2580,2510,2523.7,2523.7,2535.6,4373,75353,190818759,
E.I.D.PAR   ,185.05,187.25,184.5,185.15,185.15,185.25,193,8267,1535270,
MERCK LTD   ,2990.05,3031,2961.4,2966.05,2971,2994.3,415,2421,7248693,
ELEC.CASTING,18.5,18.8,18.15,18.7,18.7,18.2,50,15513,286893,
EMPEE SUGARS,1.05,1.05,1.05,1.05,1.05,1,2,200,210,
ESAB INDIA  ,815.55,865,815.55,854.15,854.15,830.55,107,2274,1936790,
ESSEL PROP  ,117,118,107.4,109.3,109.3,114.8,1016,62400,6972678,
ESTER INDUS.,30,30.2,30,30.15,30.15,30.15,4,185,5571,
FERRO ALLOYS,3.07,3.22,3.07,3.18,3.15,3.03,89,27772,87109,
FGP LTD.    ,1.48,1.55,1.48,1.55,1.55,1.55,3,2801,4155,
FINOL. CABLE,365.6,381,361.4,372.25,372.25,362.4,526,9781,3586282,
CMI FPE     ,1138.95,1145,1100.7,1127.1,1120.05,1120.5,75,657,738421,
UFLEX LTD   ,185.2,191.5,185.2,190.2,190.15,185.55,243,8275,1560832,
FOSECO INDIA,1325.1,1358.9,1322.3,1328.9,1324,1335.1,27,95,127257,
GOLDEN TOB  ,35.2,35.2,35.2,35.2,35.2,37.05,5,1041,36643,
GANESH BENZO,41,43,40,41.1,41.1,40.65,213,25497,1044826,
GARDEN SILK ,15.65,15.8,15.1,15.65,15.8,15.2,36,3330,51489,
METROGLOBL  ,48,56,48,48.15,48,50,14,500,25331,
GTL LTD.    ,4.43,4.43,4.27,4.41,4.4,4.22,47,16479,72642,
GODFREY PH  ,879.95,888.7,866,874.25,875.05,876.3,249,5325,4660391,
GODREJ IND  ,475.5,485,471.45,481.9,482,472.95,443,13455,6423819,
KANSAI NERO ,434.6,444,432,439.4,444,430.1,144,16520,7171895,
GOODRICKE   ,211.85,211.85,205,209.5,210,206.6,81,3148,652645,
GOODYEAR (I),865.15,868,833.3,854,854,864.15,131,2016,1734967,
GTN INDUS   ,8.49,8.49,8,8,8,7.75,3,372,3048,
GHCL LTD    ,215.45,220,215,217.65,220,213,108,2287,495429,
GUJ.FLOURO  ,863.5,865.15,850.4,855.85,856.5,862.3,134,2290,1960993,
HCL INFOSYS ,16.8,18,16.65,17.8,17.8,16.7,345,70806,1218951,
HDFC BANK   ,2085,2110,2081.65,2106.55,2106.55,2084.3,1741,66263,138951421,
HEROMOTOCO  ,2645,2656.5,2610,2625.6,2628.45,2643.15,1425,18312,48057811,
HIMACHAL FUT,21.15,21.4,21,21.2,21.2,21.1,930,734903,15531861,
HSCL        ,95,98.3,94,97.65,97.35,95.35,449,37843,3662053,
HIND.CONSTN.,12.24,12.44,12,12.36,12.36,12.07,895,205766,2528696,
HIND.OIL EXP,118.6,119.5,115.85,117.1,117.1,111.85,1189,100258,11779299,
HSIL        ,219.4,226.9,219.35,225.85,224,221.35,312,6400,1421657,
HINDUS.ZI   ,251.05,254.2,249.65,253.1,253.1,248,557,28322,7140981,
HINDUJA VENT,315.05,322.9,315.05,320.8,317.1,316.8,7,47,15043,
HMT LTD.    ,16.3,16.8,15.95,16.7,16.7,16.75,17,4661,75196,
PRAG BOSIMI ,2.88,2.88,2.8,2.82,2.82,2.88,4,2550,7170,
HOTEL LEELA.,12.05,12.25,11.75,11.87,11.85,12.06,114,41347,497013,
I.G.PETRO   ,231.15,237.95,230.05,234.65,232.4,233.8,62,1353,317035,
IND.GLYCOLS ,242.35,246,240.15,242.1,241,242.8,366,8576,2075922,
INDO RAMA   ,34.25,34.6,34.25,34.6,34.6,34.35,18,9848,339365,
INFOSYS LTD ,730,743.45,727,740.05,740.05,725.15,4084,288411,212129697,
INGERSOLL   ,517.35,544.9,517.25,534.75,544.9,516.55,135,1084,573773,
INSILCO LTD.,17.5,17.55,17.45,17.55,17.55,17.45,14,952,16658,
INTEG.FIN.SE,32.4,35.4,32.4,35.4,35.4,34.1,2,68,2206,
INTER.TRAVEL,134.5,134.5,129.6,130.15,130.8,134.5,21,989,129190,
ION EXCHANGE,360,378.9,360,373.1,373.1,370.6,49,3234,1201552,
AGRO TECH FO,571.85,574,557.05,568.9,574,582.25,20,128,72306,
JAIN IRRIG  ,54.9,56.75,54.75,55.95,55.95,54.65,814,631852,35278980,
JASCH INDUST,49,51,48.95,50.2,51,50,17,1114,55648,
JCT LTD     ,1.34,1.37,1.25,1.34,1.34,1.28,69,90337,118543,
JINDAL POLYF,228.65,230.9,222.35,228.1,229.6,229.1,95,1592,360213,
JSWSL       ,268,276.45,267.65,274.15,276.2,266.4,3008,385418,104966808,
UMANG DAIR  ,44.55,46.3,44.55,44.7,44.65,45.2,12,502,22675,
KAJARIA CER.,508.9,524,508.3,519,521.2,508.9,387,11701,6038401,
KAKATIYA CEM,142.1,144,139.05,140.7,140.65,141.85,39,1606,227964,
KALYANI STEL,178.95,180.25,175.2,178.45,178.45,176.65,261,14054,2500199,
KANELIND    ,2.24,2.43,2.24,2.43,2.43,2.48,8,2260,5071,
WHIRLPOOL   ,1314.65,1359.1,1314.65,1352.5,1359,1311.7,371,8724,11631265,
KG DENIM    ,44.75,46.5,44.75,46.1,46.5,45.55,27,2680,123081,
KINETIC ENG.,31.95,32.5,31.8,32,32,33.45,18,920,29471,
KIRL.BROS.  ,143.95,144.95,142.75,144.55,144.8,143.4,30,353,50922,
KIRL INDUS  ,745.15,795,745.15,745.2,745.2,765,8,36,27152,
KIRL.FERROUS,88,89.45,88,89.05,89.05,88.3,167,40069,3564640,
ENVAIN ELECT,39.85,40.15,39.85,40.15,40.15,41.9,3,401,16079,
KOTAK MAH.BK,1282,1293.85,1280.1,1291.3,1291.3,1278.05,994,37101,47742862,
KSB         ,666.9,666.9,650,654.95,654.95,661,13,77,50227,
L.G.BALKRISH,382.05,390,380,388.6,388.6,382.65,137,4477,1731181,
TRENT LTD.  ,333.3,333.3,326.7,331.4,331.1,332.3,118,1022,337636,
LAXMIMACH   ,5400,5460,5366,5437,5437,5420.5,122,3388,18331763,
LIC HOUS.FIN,451.95,457.2,444.55,452,452.2,448.6,2046,404832,183206350,
UTTAMVALUE  ,0.19,0.19,0.19,0.19,0.19,0.19,10,15688,2980,
LUPIN LTD.  ,762,769.15,754,760.7,760.7,763.25,1629,81566,62104412,
LYKA LABS   ,21.8,21.9,21.6,21.9,21.9,21.95,5,600,13085,
RAMCOCEM    ,608.55,626,606.15,622.85,626,607,489,11065,6838807,
MAFATLAL IND,99.05,109.95,94,109.35,109,102.15,45,1737,186217,
MAH.SEAMLESS,444.8,449,438.45,440.65,440.05,432.9,439,11599,5147149,
MAH.SCOOTER ,3070.2,3121,3070,3105.75,3110,3076,45,108,334904,
MAJESTIC AUT,135,135,130,131.5,131.5,132.2,78,4069,537318,
MANALI PETRO,22.5,23.15,22.45,22.75,22.65,22.3,147,33127,754297,
