DISTRICT,STATE
MD,FL
D,DE
MD,FL
D,DE
SD,NY
D,DE
ND,CA
ND,GA
WD,MI
SD,TX
D,DE
ND,CA
SD,FL
D,DE
HU,TX
D,DE
ND,OH
D,KA
D,DE
D,DE
SD,TX
ED,NC
ED,CA
ND,GA
ND,TX
SD,NY
SD,NY
ED,VA
SD,NY
ED,WI
ED,VA
ND,CA
D,DE
ND,TX
D,DE
SD,FL
D,DE
SD,TX
ED,TX
ED,AK
ND,TX
ND,TX
CD,CA
SD,NY
SD,NY
SD,NY
D,DE
D,AZ
MD,FL
ND,TX
ND,IL
D,DE
D,NV
SD,NY
ND,TX
D,AZ
D,DE
WD,TX
WD,TX
SD,NY
ND,IL
D,DE
ND,TX
ED,VA
SD,NY
SD,NY
MD,FL
WD,VA
SD,NY
D,DE
SD,CA
SD,CA
SD,OH
CD,CA
SD,CA
ED,MI
D,DE
CD,CA
D,DE
ED,AK
ED,TN
SD,TX
SD,FL
D,MN
ND,TX
SD,TX
D,DE
WD,OK
D,DE
D,DE
SD,FL
WD,LA
D,DE
SD,FL
SD,NY
D,DE
D,DE
ND,TX
D,DE
D,DE
WD,TX
D,NV
D,ID
D,CO
D,CO
S,NJ
D,KS
D,CO
SD,FL
MD,AL
D,MD
SD,TX
D,DE
SD,NY
D,MD
ND,CA
ED,TX
WD,TX
ND,TX
SD,NY
D,DE
D,DE
D,DE
CD,CA
ND,GA
D,DE
D,DE
D,DE
ND,IL
