 SERIES, DATE OF LISTING, ISIN NUMBER
EQ,06-OCT-2008,INE144J01027
EQ,03-MAY-1995,INE253B01015
EQ,22-APR-2005,INE748C01020
EQ,13-AUG-2004,INE470A01017
EQ,19-JUL-1995,INE105C01023
EQ,16-NOV-2017,INE618L01018
EQ,20-JUN-2005,INE111B01023
EQ,29-JAN-2014,INE650K01021
EQ,23-DEC-2010,INE619I01012
EQ,19-SEP-2003,INE767A01016
EQ,08-FEB-1995,INE769A01020
EQ,21-NOV-2006,INE273D01019
EQ,08-OCT-2018,INE216P01012
EQ,29-MAR-1995,INE421A01028
EQ,08-FEB-1995,INE117A01022
EQ,08-JAN-2010,INE358A01014
EQ,01-SEP-2017,INE674K01013
EQ,17-JUL-2013,INE647O01011
BZ,11-APR-2007,INE067H01016
EQ,14-JUN-2016,INE251C01017
EQ,20-NOV-1996,INE012A01025
EQ,01-DEC-1999,INE793A01012
EQ,26-SEP-2006,INE731H01025
EQ,04-JUN-1997,INE423A01024
EQ,05-NOV-2018,INE399L01023
EQ,18-JUN-2018,INE364U01010
EQ,27-NOV-2007,INE742F01042
EQ,20-AUG-2009,INE814H01011
EQ,31-JUL-2015,INE931S01010
EQ,15-SEP-2010,INE982B01019
EQ,05-APR-2006,INE400H01019
EQ,01-JUL-2016,INE452L01012
EQ,06-APR-2015,INE172N01012
EQ,10-MAY-1995,INE045A01017
EQ,13-AUG-1997,INE737B01033
EQ,25-JUL-2007,INE102I01027
EQ,25-JUN-2007,INE199C01026
EQ,01-AUG-2016,INE837H01020
EQ,03-APR-1996,INE208C01025
EQ,26-MAY-2014,INE204E01012
EQ,22-JUL-2003,INE676A01019
EQ,20-JUL-2017,INE517U01013
EQ,28-JAN-2014,INE449G01018
EQ,11-AUG-2010,INE926K01017
EQ,14-DEC-2009,INE758C01029
EQ,05-AUG-2010,INE915K01010
EQ,14-DEC-2005,INE212H01026
EQ,02-DEC-2015,INE428O01016
EQ,12-SEP-2018,INE743C01021
EQ,29-MAY-2000,INE031B01049
EQ,16-JUN-2009,INE298G01027
EQ,28-MAR-2017,INE542B01011
EQ,18-AUG-2000,INE523B01011
EQ,28-JUN-2001,INE133A01011
EQ,30-JUN-2015,INE914E01040
EQ,14-JUN-2016,INE155C01010
EQ,29-NOV-2002,INE428A01015
BE,31-JUL-2007,INE964B01033
EQ,22-SEP-1999,INE426A01027
EQ,29-SEP-2006,INE062D01024
EQ,06-NOV-2008,INE773I01017
EQ,23-DEC-2015,INE540L01014
EQ,26-NOV-2007,INE150B01021
EQ,23-JUN-2006,INE418H01029
EQ,09-MAY-2005,INE835G01018
EQ,16-JUN-2008,INE326B01027
EQ,10-APR-1996,INE270A01011
EQ,06-AUG-2007,INE385I01010
EQ,11-MAY-2007,INE137C01018
EQ,05-SEP-2003,INE885A01032
EQ,30-JAN-2018,INE371P01015
EQ,29-JAN-2008,INE540G01014
EQ,18-FEB-1998,INE079A01024
EQ,19-MAR-2007,INE005I01014
EQ,08-FEB-1995,INE606A01024
EQ,02-JAN-2015,INE098F01031
EQ,27-SEP-2006,INE242C01024
EQ,04-APR-2001,INE434A01013
EQ,08-NOV-2010,INE666E01012
EQ,01-NOV-1995,INE715B01013
BE,12-FEB-2007,INE017D01010
EQ,21-MAY-2008,INE087B01017
BE,14-MAR-2013,INE106I01010
EQ,27-JAN-2006,INE436A01026
EQ,06-OCT-2006,INE880B01015
BE,31-DEC-1997,INE414B01021
EQ,12-JUL-2004,INE372A01015
EQ,10-APR-2017,INE071F01012
EQ,06-SEP-1995,INE116A01024
EQ,04-SEP-2017,INE346W01013
EQ,14-DEC-2011,INE702C01019
EQ,20-SEP-2011,INE901L01018
EQ,22-JAN-2018,INE713T01010
EQ,10-JAN-1996,INE437A01024
EQ,31-MAY-1995,INE438A01022
BE,28-JAN-2015,INE451F01024
EQ,27-SEP-2002,INE266F01018
EQ,04-JUL-2008,INE877I01016
EQ,02-SEP-1998,INE731A01020
EQ,16-APR-2014,INE574I01035
EQ,18-OCT-1995,INE610C01014
EQ,11-JAN-2008,INE298I01015
EQ,26-DEC-2006,INE413D01011
EQ,28-MAR-2017,INE643K01018
EQ,14-JUN-2016,INE109C01017
EQ,24-APR-2007,INE210C01013
BE,21-MAY-2015,INE570D01018
EQ,11-MAY-2009,INE933J01015
EQ,14-DEC-2009,INE968D01022
EQ,03-MAR-2010,INE267I01010
EQ,08-FEB-1995,INE034A01011
EQ,26-AUG-2015,INE034S01021
EQ,18-MAR-1998,INE439A01020
EQ,29-AUG-2011,INE228I01012
EQ,12-MAR-2002,INE900C01027
EQ,20-SEP-1995,INE348A01023
EQ,29-JUN-2011,INE365D01021
BE,27-JUL-1995,INE440A01010
EQ,14-OCT-2010,INE442H01029
EQ,25-MAY-1995,INE208A01029
EQ,07-APR-2010,INE363A01022
EQ,31-MAY-1995,INE021A01026
EQ,23-AUG-2007,INE022I01019
EQ,14-JUN-2016,INE991I01015
EQ,29-SEP-2006,INE442A01024
EQ,25-NOV-2009,INE563J01010
EQ,26-FEB-2018,INE914M01019
EQ,20-MAR-2007,INE006I01046
EQ,01-NOV-2004,INE386C01029
EQ,04-MAY-2001,INE203A01020
EQ,29-DEC-2017,INE646X01014
EQ,06-DEC-2002,INE209A01019
EQ,25-SEP-2006,INE285H01022
BE,23-OCT-1996,INE446A01025
EQ,06-MAY-1998,INE100A01010
EQ,26-JUN-2013,INE951D01028
EQ,10-JUL-2017,INE949L01017
EQ,25-OCT-2005,INE132H01018
EQ,19-JUL-2000,INE406A01037
EQ,17-APR-1996,INE218C01016
EQ,29-MAY-2003,INE449A01011
EQ,31-JAN-2007,INE718H01014
EQ,31-MAY-1995,INE448A01013
EQ,28-JUL-2017,INE349W01017
EQ,15-APR-2015,INE871C01038
EQ,10-JAN-2007,INE488D01021
EQ,16-NOV-1998,INE238A01034
EQ,21-DEC-2000,INE555B01013
EQ,14-AUG-2015,INE193B01039
EQ,12-NOV-2012,INE878I01014
EQ,17-OCT-2003,INE116D01028
EQ,26-MAY-2008,INE917I01010
EQ,18-AUG-2010,INE933K01021
EQ,02-NOV-2007,INE193E01025
EQ,26-MAY-2008,INE918I01018
EQ,10-MAY-1995,INE306A01021
EQ,15-MAR-1995,INE118A01012
EQ,01-APR-2003,INE296A01024
EQ,22-NOV-2000,INE794B01026
EQ,05-APR-2007,INE050E01027
EQ,28-JUL-2015,INE875R01011
EQ,27-JAN-2006,INE787D01026
EQ,31-MAR-2008,INE294A01037
EQ,06-JUL-1995,INE164A01016
EQ,08-MAY-2006,INE083D01012
EQ,08-FEB-1995,INE119A01028
EQ,07-JUL-1995,INE655B01011
EQ,28-MAY-2003,INE459A01010
EQ,22-DEC-2006,INE213C01025
EQ,27-MAR-2018,INE545U01014
EQ,20-FEB-2008,INE863I01016
EQ,19-FEB-1997,INE028A01039
EQ,30-APR-1997,INE084A01016
EQ,11-APR-2007,INE629D01012
EQ,12-JAN-2006,INE855F01034
EQ,17-MAY-1995,INE373A01013
EQ,14-NOV-2005,INE186H01014
EQ,18-JUN-2003,INE176A01028
EQ,08-JAN-2010,INE462A01022
EQ,21-NOV-2006,INE464A01028
EQ,03-APR-1996,INE050A01025
EQ,08-MAY-2015,INE425B01027
EQ,23-MAR-2018,INE171Z01018
EQ,13-JAN-2015,INE520H01022
EQ,14-OCT-2010,INE844K01012
EQ,19-JUL-2000,INE263A01024
EQ,05-NOV-2003,INE258A01016
EQ,21-MAR-2005,INE922A01025
EQ,24-NOV-1999,INE463A01038
EQ,14-JAN-2011,INE878K01010
EQ,03-MAY-2007,INE243D01012
BE,28-JUL-2011,INE224M01013
EQ,03-JAN-2008,INE661I01014
EQ,02-MAR-2016,INE354C01027
EQ,17-MAY-2017,INE458B01036
EQ,20-JUL-2017,INE363W01018
EQ,30-JAN-2017,INE474E01029
EQ,16-AUG-2010,INE180K01011
EQ,04-APR-2003,INE465A01025
EQ,03-APR-1996,INE561C01019
EQ,11-OCT-1995,INE838B01013
EQ,01-APR-2016,INE316L01019
EQ,15-FEB-2002,INE397D01024
EQ,11-NOV-2003,INE257A01026
EQ,02-SEP-2016,INE412U01017
EQ,12-APR-2000,INE828A01016
BE,15-FEB-2011,INE607L01029
EQ,27-SEP-2006,INE071A01013
EQ,28-AUG-1996,INE143A01010
EQ,07-APR-2004,INE376G01013
BE,12-JUN-1996,INE829A01014
EQ,06-DEC-1995,INE800A01015
EQ,12-APR-1995,INE340A01012
BE,07-FEB-2008,INE865C01022
EQ,30-MAR-2015,INE831Q01016
EQ,31-MAY-2000,INE791A01024
EQ,26-JUL-2010,INE416D01022
EQ,17-MAR-2006,INE350H01032
EQ,14-JUN-2016,INE153T01027
EQ,08-FEB-1995,INE113O01014
BE,16-FEB-2000,INE472B01011
EQ,12-DEC-2002,INE233B01017
EQ,15-JUN-2000,INE472A01039
EQ,22-AUG-2011,INE338D01028
EQ,26-APR-1995,INE032A01023
EQ,25-MAY-2018,INE666D01022
EQ,12-MAY-2003,INE323A01026
EQ,13-SEP-1995,INE029A01011
EQ,14-JUN-1995,INE110A01019
EQ,05-DEC-2005,INE589G01011
EQ,31-DEC-2007,INE791I01019
EQ,05-NOV-1998,INE216A01030
EQ,18-SEP-2017,INE727S01012
EQ,05-SEP-2011,INE650L01011
EQ,03-FEB-2017,INE118H01025
EQ,07-FEB-2001,INE395A01016
EQ,27-JUL-1995,INE594B01012
EQ,03-JAN-2008,INE817H01014
EQ,28-APR-2014,INE295F01017
BE,23-NOV-2007,INE139I01011
EQ,15-APR-2015,INE319B01014
EQ,18-APR-2000,INE010B01027
EQ,28-JUN-2000,INE526B01014
EQ,20-JAN-2015,INE052I01032
EQ,23-DEC-2002,INE476A01014
EQ,26-FEB-2007,INE874H01015
EQ,10-MAY-1995,INE477A01020
EQ,12-OCT-2010,INE068L01016
EQ,25-SEP-2017,INE264T01014
EQ,23-JUN-2014,INE475E01026
BE,16-JAN-2017,INE707C01018
EQ,03-APR-1996,INE120A01034
EQ,06-OCT-2010,INE521J01018
EQ,26-DEC-2012,INE752H01013
EQ,27-JUN-2005,INE068D01021
EQ,14-MAR-2014,INE172A01027
EQ,15-OCT-2007,INE429I01024
EQ,03-FEB-2015,INE652F01027
EQ,07-JUN-2004,INE421D01022
EQ,30-JUN-2017,INE736A01011
EQ,01-FEB-2008,INE482A01020
BE,18-OCT-2010,INE209L01016
EQ,12-JAN-2006,INE185H01016
EQ,17-JUL-2007,INE221I01017
EQ,10-MAY-1995,INE485A01015
EQ,20-JUL-2004,INE281A01026
EQ,21-AUG-2007,INE483A01010
EQ,04-APR-2018,INE660C01027
EQ,05-OCT-2007,INE320B01020
EQ,23-MAR-2006,INE348B01021
EQ,27-JUN-2003,INE055A01016
