SYMBOL, SERIES, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, INTEREST PAYMENT DT, ISIN NUMBER
BLUEDART,N3,28-Nov-14,21-Nov-14,20-Nov-19,,INE233B08103
DHFL,N1,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07HK3
DHFL,N2,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07HL1
DHFL,N3,19-Aug-16,16-Aug-16,16-Aug-21,,INE202B07HM9
DHFL,N4,19-Aug-16,16-Aug-16,16-Aug-21,,INE202B07HN7
DHFL,N5,19-Aug-16,16-Aug-16,16-Aug-26,,INE202B07HO5
DHFL,N6,19-Aug-16,16-Aug-16,16-Aug-26,,INE202B07HP2
DHFL,N7,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07HQ0
DHFL,N8,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07HR8
DHFL,N9,19-Aug-16,16-Aug-16,16-Aug-21,,INE202B07HS6
DHFL,NA,19-Aug-16,16-Aug-16,16-Aug-21,,INE202B07HT4
DHFL,NB,19-Aug-16,16-Aug-16,16-Aug-26,,INE202B07HU2
DHFL,NC,19-Aug-16,16-Aug-16,16-Aug-26,,INE202B07HV0
DHFL,ND,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07HW8
DHFL,NE,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07HX6
DHFL,NF,19-Aug-16,16-Aug-16,16-Aug-21,,INE202B07HZ1
DHFL,NG,19-Aug-16,16-Aug-16,16-Aug-26,,INE202B07IA2
DHFL,NH,19-Aug-16,16-Aug-16,16-Aug-26,,INE202B07IB0
DHFL,NI,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07IC8
DHFL,NJ,19-Aug-16,16-Aug-16,16-Aug-19,,INE202B07ID6
DHFL,NK,14-Sep-16,09-Sep-16,09-Sep-19,09-Sep-17,INE202B07IJ3
DHFL,NK,14-Sep-16,09-Sep-16,09-Sep-19,09-Sep-18,INE202B07IJ3
DHFL,NK,14-Sep-16,09-Sep-16,09-Sep-19,09-Sep-19,INE202B07IJ3
DHFL,NL,14-Sep-16,09-Sep-16,09-Sep-19,09-Sep-17,INE202B07IK1
DHFL,NL,14-Sep-16,09-Sep-16,09-Sep-19,09-Sep-18,INE202B07IK1
DHFL,NL,14-Sep-16,09-Sep-16,09-Sep-19,09-Sep-19,INE202B07IK1
DHFL,NM,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-17,INE202B07IL9
DHFL,NM,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-18,INE202B07IL9
DHFL,NM,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-19,INE202B07IL9
DHFL,NM,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-20,INE202B07IL9
DHFL,NM,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-21,INE202B07IL9
DHFL,NN,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-17,INE202B07IM7
DHFL,NN,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-18,INE202B07IM7
DHFL,NN,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-19,INE202B07IM7
DHFL,NN,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-20,INE202B07IM7
DHFL,NN,14-Sep-16,09-Sep-16,09-Sep-21,09-Sep-21,INE202B07IM7
DHFL,NO,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-17,INE202B07IN5
DHFL,NO,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-18,INE202B07IN5
DHFL,NO,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-19,INE202B07IN5
DHFL,NO,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-20,INE202B07IN5
DHFL,NO,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-21,INE202B07IN5
DHFL,NO,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-22,INE202B07IN5
DHFL,NO,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-23,INE202B07IN5
DHFL,NP,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-17,INE202B07IO3
DHFL,NP,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-18,INE202B07IO3
DHFL,NP,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-19,INE202B07IO3
DHFL,NP,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-20,INE202B07IO3
DHFL,NP,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-21,INE202B07IO3
DHFL,NP,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-22,INE202B07IO3
DHFL,NP,14-Sep-16,09-Sep-16,09-Sep-23,09-Sep-23,INE202B07IO3
DHFL,NQ,06-Jun-18,04-Jun-18,04-Jun-21,,INE202B07IY2
DHFL,NR,06-Jun-18,04-Jun-18,04-Jun-23,,INE202B07IZ9
DHFL,NS,06-Jun-18,04-Jun-18,04-Jun-23,,INE202B07JA0
DHFL,NT,06-Jun-18,04-Jun-18,04-Jun-25,,INE202B07JB8
DHFL,NU,06-Jun-18,04-Jun-18,04-Jun-25,,INE202B07JJ1
DHFL,NV,06-Jun-18,04-Jun-18,04-Jun-28,,INE202B07JC6
DHFL,NW,06-Jun-18,04-Jun-18,04-Jun-28,,INE202B07JD4
DHFL,NX,06-Jun-18,04-Jun-18,04-Jun-28,,INE202B07JE2
DHFL,NY,06-Jun-18,04-Jun-18,04-Jun-21,,INE202B07JF9
DHFL,NZ,06-Jun-18,04-Jun-18,04-Jun-23,,INE202B07JG7
DHFL,Y1,06-Jun-18,04-Jun-18,04-Jun-23,,INE202B07JH5
DHFL,Y2,06-Jun-18,04-Jun-18,04-Jun-21,,INE202B07JI3
ECLFINANCE,N5,01-Jul-14,26-Jun-14,14-May-20,,INE804I08601
ECLFINANCE,N6,01-Jul-14,26-Jun-14,14-May-20,,INE804I08619
ECLFINANCE,N7,01-Jul-14,26-Jun-14,14-May-20,,INE804I08627
ECLFINANCE,NB,13-Mar-15,11-Mar-15,11-Mar-20,,INE804I07ZL1
ECLFINANCE,NC,13-Mar-15,11-Mar-15,11-Mar-20,,INE804I07ZM9
ECLFINANCE,ND,13-Mar-15,11-Mar-15,11-Mar-20,,INE804I07ZN7
ECLFINANCE,NE,09-Aug-18,06-Aug-18,06-Aug-21,,INE804I073Y9
ECLFINANCE,NF,09-Aug-18,06-Aug-18,06-Aug-21,,INE804I074Y7
ECLFINANCE,NG,09-Aug-18,06-Aug-18,06-Aug-23,,INE804I075Y4
ECLFINANCE,NH,09-Aug-18,06-Aug-18,06-Aug-23,,INE804I076Y2
ECLFINANCE,NI,09-Aug-18,06-Aug-18,06-Aug-23,,INE804I077Y0
ECLFINANCE,NJ,09-Aug-18,06-Aug-18,06-Aug-28,,INE804I078Y8
ECLFINANCE,NK,09-Aug-18,06-Aug-18,06-Aug-28,,INE804I079Y6
ECLFINANCE,NL,09-Aug-18,06-Aug-18,06-Aug-21,,INE804I070Z2
ECLFINANCE,NM,08-Jan-19,,04-Jan-22,,INE804I075Z1
ECLFINANCE,NN,08-Jan-19,,04-Jan-22,,INE804I076Z9
ECLFINANCE,NO,08-Jan-19,,04-Jan-24,,INE804I077Z7
ECLFINANCE,NP,08-Jan-19,,04-Jan-24,,INE804I078Z5
ECLFINANCE,NQ,08-Jan-19,,04-Jan-24,,INE804I079Z3
ECLFINANCE,NR,08-Jan-19,,05-Jan-29,,INE804IA7014
ECLFINANCE,NS,08-Jan-19,,04-Jan-29,,INE804IA7022
EHFLNCD,N1,22-Jul-16,19-Jul-16,19-Jul-19,,INE530L07178
EHFLNCD,N2,22-Jul-16,19-Jul-16,19-Jul-19,,INE530L07186
EHFLNCD,N3,22-Jul-16,19-Jul-16,19-Jul-21,,INE530L07194
EHFLNCD,N4,22-Jul-16,19-Jul-16,19-Jul-21,,INE530L07202
EHFLNCD,N5,22-Jul-16,19-Jul-16,19-Jul-26,,INE530L07210
EHFLNCD,N6,22-Jul-16,19-Jul-16,19-Jul-26,,INE530L07228
EHFLNCD,N7,22-Jul-16,19-Jul-16,19-Jul-26,,INE530L07236
ERFLNCDI,N1,26-Mar-18,22-Mar-18,22-Mar-21,,INE528S07078
ERFLNCDI,N2,26-Mar-18,22-Mar-18,22-Mar-21,,INE528S07086
ERFLNCDI,N3,26-Mar-18,22-Mar-18,22-Mar-23,,INE528S07094
ERFLNCDI,N4,26-Mar-18,22-Mar-18,22-Mar-23,,INE528S07102
ERFLNCDI,N5,26-Mar-18,22-Mar-18,22-Mar-28,,INE528S07110
ERFLNCDI,N6,26-Mar-18,22-Mar-18,22-Mar-28,,INE528S07128
HUDCO,N2,20-Mar-12,07-Mar-12,05-Mar-27,,INE031A07840
HUDCO,N3,20-Mar-12,07-Mar-12,05-Mar-22,,INE031A07832
HUDCO,N4,21-Feb-13,16-Feb-13,16-Feb-23,,INE031A07857
HUDCO,N5,21-Feb-13,16-Feb-13,16-Feb-28,,INE031A07865
HUDCO,N6,03-Apr-13,28-Mar-13,28-Mar-23,,INE031A07873
HUDCO,N7,03-Apr-13,28-Mar-13,28-Mar-28,,INE031A07881
HUDCO,N8,22-Mar-17,08-Feb-16,08-Feb-31,,INE031A07AO5
HUDCO,N9,22-Mar-17,15-Mar-16,15-Mar-31,,INE031A07AT4
HUDCO,NA,22-Mar-17,25-Oct-13,25-Oct-23,,INE031A07907
HUDCO,NB,22-Mar-17,25-Oct-13,25-Oct-28,,INE031A07915
HUDCO,NC,22-Mar-17,13-Jan-14,13-Jan-29,,INE031A07972
HUDCO,ND,22-Mar-17,25-Oct-13,25-Oct-28,,INE031A07949
HUDCO,NE,22-Mar-17,13-Jan-14,13-Jan-34,,INE031A07AB2
IBUCCREDIT,N1,27-Sep-18,25-Sep-18,25-Sep-20,,INE244L07051
IBUCCREDIT,N2,27-Sep-18,25-Sep-18,25-Sep-20,,INE244L07069
IBUCCREDIT,N3,27-Sep-18,25-Sep-18,25-Sep-21,,INE244L07077
IBUCCREDIT,N4,27-Sep-18,25-Sep-18,25-Sep-21,,INE244L07085
IBUCCREDIT,N5,27-Sep-18,25-Sep-18,25-Sep-21,,INE244L07093
IBUCCREDIT,N6,27-Sep-18,25-Sep-18,25-Sep-21,,INE244L07101
IBUCCREDIT,N7,27-Sep-18,25-Sep-18,25-Sep-23,,INE244L07127
IBUCCREDIT,N8,27-Sep-18,25-Sep-18,25-Sep-28,,INE244L07135
IBUCCREDIT,N9,27-Sep-18,25-Sep-18,25-Sep-28,,INE244L07143
IBUCCREDIT,NA,27-Sep-18,25-Sep-18,25-Sep-28,,INE244L07150
IBUCCREDIT,NB,27-Sep-18,25-Sep-18,25-Sep-28,,INE244L07168
IBUCCREDIT,NC,27-Sep-18,25-Sep-18,25-Sep-28,,INE244L07176
IBUCCREDIT,ND,27-Sep-18,25-Sep-18,25-Sep-28,,INE244L07184
IBULHSGFIN,N1,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-17,INE148I07FY8
IBULHSGFIN,N1,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-18,INE148I07FY8
IBULHSGFIN,N1,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-19,INE148I07FY8
IBULHSGFIN,N2,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-17,INE148I07FZ5
IBULHSGFIN,N2,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-18,INE148I07FZ5
IBULHSGFIN,N2,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-19,INE148I07FZ5
IBULHSGFIN,N3,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-17,INE148I07GA6
IBULHSGFIN,N3,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-18,INE148I07GA6
IBULHSGFIN,N3,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-19,INE148I07GA6
IBULHSGFIN,N4,28-Sep-16,26-Sep-16,26-Sep-19,26-Sep-19,INE148I07GD0
IBULHSGFIN,N5,28-Sep-16,26-Sep-16,26-Sep-21,26-Sep-17,INE148I07GE8
IBULHSGFIN,N5,28-Sep-16,26-Sep-16,26-Sep-21,26-Sep-18,INE148I07GE8
IBULHSGFIN,N5,28-Sep-16,26-Sep-16,26-Sep-21,26-Sep-19,INE148I07GE8
