SC_CODE,SC_GROUP,SC_TYPE,ISIN_CODE,TRADING_DATE
500002,A ,Q,INE117A01022,20-Feb-19
500003,A ,Q,INE208C01025,20-Feb-19
500008,A ,Q,INE885A01032,20-Feb-19
500009,X ,Q,INE432A01017,20-Feb-19
500010,A ,Q,INE001A01036,20-Feb-19
500012,X ,Q,INE714B01016,20-Feb-19
500013,B ,Q,INE436A01026,20-Feb-19
500014,XT,Q,INE096A01010,20-Feb-19
500020,B ,Q,INE032A01023,20-Feb-19
500023,B ,Q,INE363A01022,20-Feb-19
500024,B ,Q,INE442A01024,20-Feb-19
500027,A ,Q,INE100A01010,20-Feb-19
500028,XT,Q,INE447A01015,20-Feb-19
500031,A ,Q,INE193E01025,20-Feb-19
500032,B ,Q,INE306A01021,20-Feb-19
500033,A ,Q,INE451A01017,20-Feb-19
500034,A ,Q,INE296A01024,20-Feb-19
500038,A ,Q,INE119A01028,20-Feb-19
500039,B ,Q,INE213C01025,20-Feb-19
500040,A ,Q,INE055A01016,20-Feb-19
500041,B ,Q,INE459A01010,20-Feb-19
500042,A ,Q,INE373A01013,20-Feb-19
500043,A ,Q,INE176A01028,20-Feb-19
500048,A ,Q,INE258A01016,20-Feb-19
500049,A ,Q,INE263A01024,20-Feb-19
500052,B ,Q,INE922A01025,20-Feb-19
500055,T ,Q,INE824B01021,20-Feb-19
500058,XT,Q,INE819C01011,20-Feb-19
500059,B ,Q,INE071A01013,20-Feb-19
500060,B ,Q,INE800A01015,20-Feb-19
500067,A ,Q,INE472A01039,20-Feb-19
500068,X ,Q,INE131C01011,20-Feb-19
500074,B ,Q,INE110A01019,20-Feb-19
500078,X ,Q,INE959C01023,20-Feb-19
500083,B ,Q,INE281A01026,20-Feb-19
500084,A ,Q,INE486A01013,20-Feb-19
500085,A ,Q,INE085A01013,20-Feb-19
500086,A ,Q,INE302A01020,20-Feb-19
500087,A ,Q,INE059A01026,20-Feb-19
500089,B ,Q,INE303A01010,20-Feb-19
500092,A ,Q,INE007A01025,20-Feb-19
500093,A ,Q,INE067A01029,20-Feb-19
500096,A ,Q,INE016A01026,20-Feb-19
500097,B ,Q,INE495A01022,20-Feb-19
500101,A ,Q,INE034A01011,20-Feb-19
500102,B ,Q,INE294A01037,20-Feb-19
500103,A ,Q,INE257A01026,20-Feb-19
500104,A ,Q,INE094A01015,20-Feb-19
500106,A ,Q,INE039A01010,20-Feb-19
500108,B ,Q,INE153A01019,20-Feb-19
500109,A ,Q,INE103A01014,20-Feb-19
500110,A ,Q,INE178A01016,20-Feb-19
500111,A ,Q,INE013A01015,20-Feb-19
500112,A ,Q,INE062A01020,20-Feb-19
500113,A ,Q,INE114A01011,20-Feb-19
500114,A ,Q,INE280A01028,20-Feb-19
500116,A ,Q,INE008A01015,20-Feb-19
500117,B ,Q,INE500A01029,20-Feb-19
500119,B ,Q,INE041A01016,20-Feb-19
500120,X ,Q,INE591D01014,20-Feb-19
500123,B ,Q,INE280B01018,20-Feb-19
500124,A ,Q,INE089A01023,20-Feb-19
500125,A ,Q,INE126A01031,20-Feb-19
500126,B ,Q,INE199A01012,20-Feb-19
500128,B ,Q,INE086A01029,20-Feb-19
500132,XT,Q,INE928B01012,20-Feb-19
500133,B ,Q,INE284A01012,20-Feb-19
500135,B ,Q,INE255A01020,20-Feb-19
500136,B ,Q,INE778B01029,20-Feb-19
500141,X ,Q,INE912A01026,20-Feb-19
500142,XT,Q,INE512A01016,20-Feb-19
500144,A ,Q,INE235A01022,20-Feb-19
500147,X ,Q,INE515A01019,20-Feb-19
500148,A ,Q,INE516A01017,20-Feb-19
500150,B ,Q,INE519A01011,20-Feb-19
500151,T ,Q,INE973A01010,20-Feb-19
500153,X ,Q,INE388A01029,20-Feb-19
500155,B ,Q,INE526A01016,20-Feb-19
500159,X ,Q,INE085D01033,20-Feb-19
500160,T ,Q,INE043A01012,20-Feb-19
500163,A ,Q,INE260B01028,20-Feb-19
500164,A ,Q,INE233A01035,20-Feb-19
500165,A ,Q,INE531A01024,20-Feb-19
500166,X ,Q,INE300A01016,20-Feb-19
500168,B ,Q,INE533A01012,20-Feb-19
500170,B ,Q,INE537A01013,20-Feb-19
