rep_fie_m,CIK,etity_org_type,series_id,cass_id,cass_ticker_symbo,state_code
811-22959,1605941,30,S000049990,C000157852,TFAX,Y
811-22959,1605941,30,S000049990,C000157851,TFCX,Y
811-22959,1605941,30,S000049990,C000157849,TFIX,Y
811-22959,1605941,30,S000049990,C000157850,TFRX,Y
811-22959,1605941,30,S000052766,C000165720,TVDX,Y
811-22959,1605941,30,S000052766,C000165718,TXAX,Y
811-22959,1605941,30,S000052766,C000165719,TXCX,Y
811-22959,1605941,30,S000052766,C000165721,TYRX,Y
811-22959,1605941,30,S000045910,C000143077,TVAX,Y
811-22959,1605941,30,S000045910,C000143078,TVCX,Y
811-22959,1605941,30,S000045910,C000143079,TVIX,Y
811-22959,1605941,30,S000045910,C000143080,TVRX,Y
811-22959,1605941,30,S000055373,C000174201,,Y
811-22959,1605941,30,S000055373,C000174202,,Y
811-22959,1605941,30,S000055373,C000174203,,Y
811-22959,1605941,30,S000055373,C000174204,,Y
811-22959,1605941,30,S000049988,C000157841,TGAX,Y
811-22959,1605941,30,S000049988,C000157844,TGCX,Y
811-22959,1605941,30,S000049988,C000157842,TGIX,Y
811-22959,1605941,30,S000049988,C000157843,TGRX,Y
811-22959,1605941,30,S000052777,C000165765,TTRX,Y
811-22959,1605941,30,S000052777,C000165762,TYAX,Y
811-22959,1605941,30,S000052777,C000165763,TYCX,Y
811-22959,1605941,30,S000052777,C000165764,TYFX,Y
811-22959,1605941,30,S000045911,C000143081,THAX,Y
811-22959,1605941,30,S000045911,C000143082,THCX,Y
811-22959,1605941,30,S000045911,C000143083,THIX,Y
811-22959,1605941,30,S000045911,C000143084,THRX,Y
811-22959,1605941,30,S000049989,C000157845,TMAX,Y
811-22959,1605941,30,S000049989,C000157848,TMCX,Y
811-22959,1605941,30,S000049989,C000157846,TMIX,Y
811-22959,1605941,30,S000049989,C000157847,TMRX,Y
811-22959,1605941,30,S000052768,C000165726,,Y
811-22959,1605941,30,S000052768,C000165727,,Y
811-22959,1605941,30,S000052768,C000165728,,Y
811-22959,1605941,30,S000052768,C000165729,,Y
811-22959,1605941,30,S000052769,C000165733,,Y
811-22959,1605941,30,S000052769,C000165730,,Y
811-22959,1605941,30,S000052769,C000165731,,Y
811-22959,1605941,30,S000052769,C000165732,,Y
811-22959,1605941,30,S000052770,C000165734,,Y
811-22959,1605941,30,S000052770,C000165735,,Y
811-22959,1605941,30,S000052770,C000165736,,Y
811-22959,1605941,30,S000052770,C000165737,,Y
811-22959,1605941,30,S000052771,C000165738,,Y
811-22959,1605941,30,S000052771,C000165739,,Y
811-22959,1605941,30,S000052771,C000165740,,Y
811-22959,1605941,30,S000052771,C000165741,,Y
811-22959,1605941,30,S000052772,C000165742,,Y
811-22959,1605941,30,S000052772,C000165743,,Y
811-22959,1605941,30,S000052772,C000165744,,Y
811-22959,1605941,30,S000052772,C000165745,,Y
811-22959,1605941,30,S000052773,C000165746,,Y
811-22959,1605941,30,S000052773,C000165747,,Y
811-22959,1605941,30,S000052773,C000165748,,Y
811-22959,1605941,30,S000052773,C000165749,,Y
811-22959,1605941,30,S000052774,C000165750,,Y
811-22959,1605941,30,S000052774,C000165751,,Y
811-22959,1605941,30,S000052774,C000165752,,Y
811-22959,1605941,30,S000052774,C000165753,,Y
811-22959,1605941,30,S000052775,C000165754,,Y
811-22959,1605941,30,S000052775,C000165755,,Y
811-22959,1605941,30,S000052775,C000165756,,Y
811-22959,1605941,30,S000052775,C000165757,,Y
811-22959,1605941,30,S000052767,C000165722,,Y
811-22959,1605941,30,S000052767,C000165723,,Y
811-22959,1605941,30,S000052767,C000165724,,Y
811-22959,1605941,30,S000052767,C000165725,,Y
811-22959,1605941,30,S000045912,C000143088,TBAX,Y
811-22959,1605941,30,S000045912,C000143085,TBCX,Y
811-22959,1605941,30,S000045912,C000143086,TBIX,Y
811-22959,1605941,30,S000045912,C000143087,TBRX,Y
811-22959,1605941,30,S000049991,C000157853,TAX,Y
811-22959,1605941,30,S000049991,C000157856,TCX,Y
811-22959,1605941,30,S000049991,C000157854,TIX,Y
811-22959,1605941,30,S000049991,C000157855,TRX,Y
811-21726,1319067,30,S000044033,C000136673,FMCIX,MO
811-21726,1319067,30,S000044034,C000136674,FSVIX,MO
811-21726,1319067,30,S000052123,C000164030,HIOIX,MO
811-21726,1319067,30,S000052123,C000164029,HROAX,MO
811-21726,1319067,30,S000045520,C000141714,IMSCX,MO
811-21726,1319067,30,S000045522,C000141716,IMSAX,MO
811-21726,1319067,30,S000045521,C000141715,IMSIX,MO
811-21726,1319067,30,S000052125,C000164034,,MO
811-21726,1319067,30,S000052125,C000164035,,MO
811-21726,1319067,30,S000052125,C000164036,,MO
811-21726,1319067,30,S000040268,C000125135,SDPAX,MO
811-21726,1319067,30,S000040268,C000125136,SDPIX,MO
811-21726,1319067,30,S000040269,C000125137,SFOAX,MO
811-21726,1319067,30,S000040269,C000125138,SFOIX,MO
811-21726,1319067,30,S000040270,C000125139,SHEAX,MO
811-21726,1319067,30,S000040270,C000125140,SHEIX,MO
811-21726,1319067,30,S000040272,C000125144,SIAAX,MO
811-21726,1319067,30,S000040272,C000125143,SIAIX,MO
811-21726,1319067,30,S000040271,C000125141,SPAX,MO
811-21726,1319067,30,S000040271,C000125142,SPIX,MO
811-21726,1319067,30,S000040273,C000125145,SMAX,MO
811-21726,1319067,30,S000040273,C000125146,SMIX,MO
811-21726,1319067,30,S000040274,C000125147,SRGAX,MO
811-21726,1319067,30,S000040274,C000125148,SRGCX,MO
811-21726,1319067,30,S000040274,C000125149,SRGIX,MO
811-21726,1319067,30,S000048652,C000153328,SRQAX,MO
811-21726,1319067,30,S000048652,C000153329,SRQCX,MO
811-21726,1319067,30,S000048652,C000153330,SRQIX,MO
811-21726,1319067,30,S000042169,C000130935,,MO
811-21726,1319067,30,S000042169,C000130936,,MO
811-21726,1319067,30,S000042169,C000130937,WPCX,MO
811-23151,1669035,30,S000054122,C000170110,,MA
811-21081,1172221,30,S000010275,C000028381,TAAX,Y
811-21081,1172221,30,S000010275,C000028382,TABX,Y
811-21081,1172221,30,S000010275,C000028383,TACX,Y
811-21081,1172221,30,S000010275,C000028387,TAIX,Y
811-21081,1172221,30,S000010275,C000028386,TAKX,Y
811-21081,1172221,30,S000010275,C000028385,TARX,Y
811-21081,1172221,30,S000010275,C000028384,TAVX,Y
811-21081,1172221,30,S000010278,C000028402,TBAX,Y
811-21081,1172221,30,S000010278,C000028408,TBIX,Y
811-21081,1172221,30,S000010278,C000028407,TBKX,Y
811-21081,1172221,30,S000010278,C000028406,TBRX,Y
811-21081,1172221,30,S000010278,C000028405,TBVX,Y
811-21081,1172221,30,S000010278,C000028403,TCBX,Y
811-21081,1172221,30,S000010278,C000028404,TSCX,Y
811-21081,1172221,30,S000010279,C000028409,TDAX,Y
811-21081,1172221,30,S000010279,C000028410,TDBX,Y
811-21081,1172221,30,S000010279,C000028411,TDCX,Y
811-21081,1172221,30,S000010279,C000028415,TDIX,Y
